(No.),(Countries), นทล  (KING) , ก.พ.  (CSC) , กต (MFA), วท (MOST), สธ  (MOPH) , สกอ. (HEC), อภท  (ODOS) , พสวท  (IPST) ,รวม(Total),ศึกษา(Study),ฝึกอบรม(Training),(Other),(Total),(%)
1,USA,146,359,3,824,17,89,92,446,"1,976",27,18,126,"2,147",36.09
2,UK,15,347,8,641,24,168,138,216,"1,557",50,1,367,"1,975",33.2
3,JAPAN,-,116,-,76,-,9,141,3,345,26,9,7,387,6.51
4,GERMANY,-,39,1,86,-,14,124,36,300,10,1,6,317,5.33
5,AUSTRALIA,-,63,-,77,4,23,32,11,210,14,2,20,246,4.14
6,FRANCE,-,32,2,62,-,10,45,7,158,10,1,4,173,2.91
7,THAILAND,-,150,-,-,-,-,-,-,150,1,-,-,151,2.54
8,NETHERLAND,-,21,-,21,-,11,63,6,122,1,-,2,125,2.1
9,CHINA,-,41,-,1,-,8,52,-,102,14,3,1,120,2.02
10,SWITZERLAND,-,4,-,6,-,2,37,1,50,1,-,1,52,0.87
11,CANADA,-,8,-,14,-,5,10,6,43,2,1,2,48,0.81
12,NEW ZEALAND,-,2,-,5,1,4,11,-,23,4,-,3,30,0.5
13,SWEDEN,-,6,-,13,-,2,4,5,30,-,-,-,30,0.5
14,MALAYSIA,-,1,8,-,-,11,2,-,22,-,-,-,22,0.37
15,AUSTRIA,-,1,-,9,-,2,1,-,13,2,-,-,15,0.25
16,RUSSIA,-,5,2,2,-,2,2,-,13,1,-,-,14,0.24
17,DENMARK,-,-,-,10,-,2,-,1,13,-,-,-,13,0.22
18,SPAIN,-,2,2,-,-,6,-,-,10,1,-,1,12,0.2
19,BELGIUM,-,3,-,4,-,2,-,-,9,1,-,-,10,0.17
20,ITALY,-,2,-,-,-,1,6,-,9,-,-,-,9,0.15
21,"KOREA, SOUTH",-,-,1,-,-,3,1,-,5,4,-,-,9,0.15
22,INDIA,-,2,-,-,-,1,-,-,3,2,-,-,5,0.08
23,SINGAPORE,-,-,2,-,-,3,-,-,5,-,-,-,5,0.08
24,EGYPT,-,-,4,-,-,-,-,-,4,-,-,-,4,0.07
25,HONGKONG,-,3,-,-,-,-,-,-,3,1,-,-,4,0.07
26,PORTUGAL,-,-,1,2,-,1,-,-,4,-,-,-,4,0.07
27,PHILIPPINES,-,-,-,-,-,-,-,-,0,3,-,-,3,0.05
28,TAIWAN,-,1,-,-,-,-,-,-,1,2,-,-,3,0.05
29,CZECH REPUBLIC,-,-,-,2,-,-,-,-,2,-,-,-,2,0.03
30,IRELAND,-,2,-,-,-,-,-,-,2,-,-,-,2,0.03
31,MARSHALL ISLANDS,-,-,-,-,2,-,-,-,2,-,-,-,2,0.03
32,POLAND,-,-,-,2,-,-,-,-,2,-,-,-,2,0.03
33,ETHIOPIA,-,-,1,-,-,-,-,-,1,-,-,-,1,0.02
34,FINLAND,-,-,-,-,-,1,-,-,1,-,-,-,1,0.02
35,INDONESIA,-,-,1,-,-,-,-,-,1,-,-,-,1,0.02
36,ISRAEL,-,-,-,-,-,-,-,-,0,1,-,-,1,0.02
37,MEXICO,-,-,1,-,-,-,-,-,1,-,-,-,1,0.02
38,NORWAY,-,-,-,-,-,-,-,-,0,1,-,-,1,0.02
39,VIETNAM,-,-,1,-,-,-,-,-,1,-,-,-,1,0.02
40,UNITED ARAB EMIRATES,-,-,-,-,-,-,1,-,1,-,-,-,1,0.02
